"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim","successful_attack"
"64290","it's almost impossible not to be swept away by the sheer beauty of his images. ","it's almost impossible not to be swept away by the sheer beauty of his images.","0.002","0.971","0.002","0.002","0"
"64290","it's almost impossible not to be swept away by the sheer beauty of his images. ","it's almost impossible not to be swept away by the sheer beauty of his images, ","0.002","0.97","0.002","0.002","0"
"49613","if you liked the previous movies in the series, you 'll have a good time with this one too ","if you liked the previous movies in the series, you 'll have a good time with this one too ''.","0.119","0.825","0.093","0.056","0"
"49613","if you liked the previous movies in the series, you 'll have a good time with this one too ","if you have got the previous movies in the series, you 'll have a good time with this one.","0.065","0.899","0.049","0.056","0"
"34731","may also be the best sex comedy about environmental pollution ever made ","May also be the best sex comedy episode about environmental pollution?","0.032","0.373","0.025","0.006","0"
"34731","may also be the best sex comedy about environmental pollution ever made ","Many also be the best sex comedy about environmental pollution.","0.006","0.035","0.005","0.006","0"
"11271","on opting out of any opportunity for finding meaning in relationships or work ","It is opting out of any opportunity for finding meaning in relationships or work _","0.539","0.508","0.551","0.059","0"
"11271","on opting out of any opportunity for finding meaning in relationships or work ","on opting out of any opportunity for finding meanings in relationships or work.","0.072","0.852","0.055","0.059","0"
"6819","devastated by war, famine and poverty and documented the cruelty and suffering he has found with an devastating, eloquent clarity ","Devastated by war, famine and poverty, and documenting with devastating cruelty and suffering he has found","0.803","0.537","0.962","0.042","0"
"6819","devastated by war, famine and poverty and documented the cruelty and suffering he has found with an devastating, eloquent clarity ","Feeiture, Devastated by war, family and poverty.","0.02","0.005","0.303","0.042","0"
"48971","from its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale ","From its invitingly upbeat overture to its ultimately complete, but ultimately addictive, conclusion","0.106","0.276","0.088","0.046","0"
"48971","from its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale ","From its invitingly upbeat overture to its penultimate, fully filled but ultimately false.","0.0","0.0","0.422","0.046","0"
"59482","based on theory, sleight-of-hand, and ill-wrought hypothesis ","Based on theory,sleight-of-hand, and ill-wrought hypothesis","0.55","0.488","0.575","0.576","0"
"59482","based on theory, sleight-of-hand, and ill-wrought hypothesis ","based on theory, skill-of-hand, and ill-wrought hypothesis","0.533","0.435","0.576","0.576","0"
"31713","( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto, ","( hayek ) throws herself in this Dream hispanic role with a teeth-clenching gusto,","0.396","0.543","0.363","0.295","0"
"31713","( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto, ","( hayek ) throws herself into this dream Hispanic role with teeth-clenching gusto ),","0.263","0.119","0.439","0.295","0"
"23809","a movie-of-the-week tearjerker ","a movie-of-the-week _ trunksjerkervel","0.308","0.156","0.456","0.344","0"
"23809","a movie-of-the-week tearjerker ","A movieTegjerker TV.","0.158","0.053","0.459","0.344","0"
"28511","capture the novel's deeper intimate resonances ","capture the novel's deeper intimate resonances.","0.103","0.951","0.079","0.24","0"
"28511","capture the novel's deeper intimate resonances ","capture the novel deaf, deeper intimate resonances.","0.049","0.023","0.077","0.24","0"
"57942","the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ). ","The sensational true-crime hell-jaunt purists might like, and more experimental in its storytelling ( though no less horrifying, for it ).","0.572","0.494","0.604","0.41","0"
"57942","the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ). ","The sensational true crime hell-jaunt - purists might like and more experimental in its storytelling ( though not less horrifying ).","0.241","0.311","0.224","0.41","0"
"26800","both for the rhapsodic dialogue that jumps off the page, and for the memorable character creations ","bothon the basis of the rhapsodic dialogue that jumps off the page, and for the memorable character creations.","0.188","0.292","0.168","0.046","0"
"26800","both for the rhapsodic dialogue that jumps off the page, and for the memorable character creations ","Both for the rhapsodic dialogue, which jumps off the page, and for the memorable character - creation.","0.029","0.867","0.022","0.046","0"
"15436","talented enough and charismatic enough to make us care about zelda's ultimate fate ","talented enough and charismatic enough though make us care about zelda's ultimate fate ","0.018","0.15","0.014","0.003","0"
"15436","talented enough and charismatic enough to make us care about zelda's ultimate fate ","talented enough and charismatic enough to make us care about zelda's ultimate fate.","0.005","0.852","0.004","0.003","0"
"36164","fessenden continues to do interesting work, and it would be nice to see what he could make with a decent budget ","fessenden continues to do interesting work, and it would be nice to see what he could make with a decent budget '","0.001","0.922","0.001","0.001","0"
"36164","fessenden continues to do interesting work, and it would be nice to see what he could make with a decent budget ","fessenden continues to do interesting work, and it will be nice to see what he could make with a decent budget.","0.0","0.966","0.0","0.001","0"
"22797","eloquent ( meditation ) on death and that most elusive of passions ","eloquent ( meditation ) on death and that most elusive of passions ","0.078","0.539","0.06","0.06","0"
"22797","eloquent ( meditation ) on death and that most elusive of passions ","eloquent ( meditation ) on death, and that most elusive of passions.","0.076","0.473","0.06","0.06","0"
"26508","tense, terrific, sweaty-palmed fun. ","tense, terrific, sweaty-palmed fun.","0.623","0.805","0.58","0.58","0"
"26508","tense, terrific, sweaty-palmed fun. ","tense, sensation, sweaty-palmed fun.","0.27","0.104","0.58","0.58","0"
"57703","of world cinema's most wondrously gifted artists ","of world cinema's most wondrously gifted artists.","0.004","0.915","0.003","0.0","0"
"57703","of world cinema's most wondrously gifted artists ","of the most wondrously gifted artists of world cinema.","0.0","0.654","0.0","0.0","0"
"21420","the new insomnia is a surprisingly faithful remake of its chilly predecessor ","The new insomnia is a surprisingly faithful remake of its predecessor,","0.001","0.399","0.001","0.001","0"
"21420","the new insomnia is a surprisingly faithful remake of its chilly predecessor ","The new insomnia imagines partway.","0.0","0.0","0.077","0.001","0"
"13420","the powerpuff girls is a fast, frenetic, funny, even punny 6 -- aimed specifically at a grade-school audience. ","The Powerpuff Girls is a fast, frenetic, funny, even punny 6 -- aimed specifically at a grade-school audience.","0.929","0.882","0.945","0.945","0"
"13420","the powerpuff girls is a fast, frenetic, funny, even punny 6 -- aimed specifically at a grade-school audience. ","The Powerpuff Girls is a fast, frenetic, funny, even punny 6 --iceps designed specifically for a high school audience.","0.0","0.0","0.447","0.945","0"
"40752","a gentle and engrossing character study. ","a gentle and engrossing character study.","0.011","0.968","0.008","0.008","0"
"40752","a gentle and engrossing character study. ","a gentle and engrossing character study :","0.001","0.764","0.001","0.008","0"
"37229","a striking new significance for anyone who sees the film ","A striking new significance for anyone who sees the film.","0.07","0.926","0.053","0.019","0"
"37229","a striking new significance for anyone who sees the film ","a striking new significance for anyone who sees the film","0.025","0.921","0.019","0.019","0"
"59418","deliver a riveting and surprisingly romantic ride. ","deliver a riveting and surprisingly romantic ride.","0.023","0.97","0.017","0.017","0"
"59418","deliver a riveting and surprisingly romantic ride. "," Deliver a riveting and surprisingly romantic ride.","0.023","0.97","0.017","0.017","0"
"30986","borders on rough-trade homo-eroticism ","Borders on rough trade homo-eroticism ","0.842","0.659","0.927","0.244","0"
"30986","borders on rough-trade homo-eroticism ","borders on rough-trade homo-eroticism.","0.299","0.929","0.244","0.244","0"
"43985","one of mr. chabrol's subtlest works ","one of mr. chabrol's subtlest works ``","0.187","0.779","0.149","0.119","0"
"43985","one of mr. chabrol's subtlest works ","One of mr. chabrol's subtlest works","0.152","0.978","0.119","0.119","0"
"54632","carried by a strong sense of humanism ","carried by a strong sense of humanism.","0.028","0.896","0.021","0.014","0"
"54632","carried by a strong sense of humanism ","carried by a strong sense of humanism.","0.028","0.896","0.021","0.014","0"
"48230","because the genre is well established, what makes the movie fresh ","Because the genre is well established, what makes the forward fresh?","0.52","0.374","0.598","0.132","0"
"48230","because the genre is well established, what makes the movie fresh ","Because the genre is well established, what makes the film fresh?","0.474","0.938","0.406","0.132","0"
"8291","by taking your expectations and twisting them just a bit ","By taking your expectations and twisting them, just a bit.","0.418","0.949","0.352","0.053","0"
"8291","by taking your expectations and twisting them just a bit ","By taking your expectations and twisting them just a bit","0.07","0.977","0.053","0.053","0"
"22239","has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side ","has ditched the saccharine sentimentality of the former bicentennial man, in favor of a hardened darker side.","0.019","0.388","0.014","0.0","0"
"22239","has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side ","Thankfully, this liquor has scrambled toward St. Francis'the saccharine sentimentality of a effusive Bicentennial man.","0.0","0.0","0.983","0.0","0"
"13690","see it for his performance if nothing else. ","see it for his performance if nothing else.","0.443","0.754","0.389","0.389","0"
"13690","see it for his performance if nothing else. ","see it for his performance if nothing else. ''","0.434","0.562","0.403","0.389","0"
"39146","the cinematography to the outstanding soundtrack and unconventional narrative ","activated to the outstanding soundtrack and unconventional narrative.","0.042","0.016","0.089","0.003","0"
"39146","the cinematography to the outstanding soundtrack and unconventional narrative ","the cinematography to the outstanding soundtrack and avan","0.036","0.021","0.047","0.003","0"
"53636","uses grant's own twist of acidity ","uses, of its own twist, acidity.","0.374","0.198","0.531","0.068","0"
"53636","uses grant's own twist of acidity ","uses grant's own twist of acidity","0.088","0.811","0.068","0.068","0"
"37735","of pre-9 / 11 new york and onto a cross-country road trip of the homeric kind ","of startup 4 york and off on a cross-country road trip of homeric kind.","0.097","0.032","0.305","0.165","0"
"37735","of pre-9 / 11 new york and onto a cross-country road trip of the homeric kind ","Turn on a cross-country road tour of figurative kind found from pre-9/11.","0.0","0.0","0.148","0.165","0"
"30777","a beautiful paean to a time long past. ","A beautiful thing about people to a time long past.","0.263","0.102","0.557","0.125","0"
"30777","a beautiful paean to a time long past. ","a beautiful paean to a time long past.","0.16","0.959","0.125","0.125","0"
"32801","'s funny, touching, dramatically forceful, and beautifully shot. ",". Myers, funny, dramaticallystylish, powerful.","0.129","0.038","0.6","0.005","0"
"32801","'s funny, touching, dramatically forceful, and beautifully shot. ","Funny, touching, dramatically forceful, and beautifully shot.","0.004","0.743","0.003","0.005","0"
"29906",", promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people. ",", Satisfactions, promises offers an unexpected window into the complexities of Middle Eastern struggle, and into its humanity of its people.","0.0","0.185","0.0","0.0","0"
"29906",", promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people. ","21","-0.002","-0.0","0.326","0.0","0"
"50481","a cutesy romantic tale with a twist ","A cutesy romantic tale with a twist.","0.039","0.97","0.029","0.018","0"
"50481","a cutesy romantic tale with a twist ","a cutesy romantic tale with a twist","0.024","0.971","0.018","0.018","0"
"51910","a relaxed firth displays impeccable comic skill ","a relaxed firth displays imm supreme comic skill,","0.019","0.066","0.015","0.0","0"
"51910","a relaxed firth displays impeccable comic skill ","A relaxed firth displays admasive comic skill.","0.0","0.0","0.009","0.0","0"
"60833","escapes the precious trappings of most romantic comedies, infusing into the story very real, ","escapes the precious trappings - most romantic comedies, albeit, infusing very real,","0.068","0.053","0.075","0.002","0"
"60833","escapes the precious trappings of most romantic comedies, infusing into the story very real, ","escapes the precious trappings of most romantic comedies, which infuses into the story very real.","0.0","0.12","0.0","0.002","0"
"37200","the sum of its parts in today's hollywood ","The sum of its parts in today's Hollywood","0.613","0.402","0.744","0.744","0"
"37200","the sum of its parts in today's hollywood ","The sum of its parts in today's hollywood.","0.381","0.143","0.861","0.744","0"
"66959","there are moments of hilarity to be had. ","There are moments of hilarity to be had.","0.061","0.984","0.047","0.047","0"
"66959","there are moments of hilarity to be had. ","And there are moments of hilarity to be had.","0.048","0.807","0.037","0.047","0"
"35654","is a question for philosophers, not filmmakers ; all the filmmakers need to do ","is a question for philosophers, not filmmakers, all the filmmakers need to do >","0.821","0.821","0.821","0.638","0"
"35654","is a question for philosophers, not filmmakers ; all the filmmakers need to do ","...is a question for philosophers, not filmmakers.","0.472","0.201","0.857","0.638","0"
"34202","around some intriguing questions about the difference between human and android life ","Around some intriguing questions about the difference between human and android life.","0.088","0.772","0.068","0.023","0"
"34202","around some intriguing questions about the difference between human and android life ","However, on some intriguing questions about the difference between human and android life, ``","0.06","0.604","0.046","0.023","0"
"7780","remarkable procession of sweeping pictures that have reinvigorated the romance genre ","remarkable procession of sweeping pictures that have reinvigorated the romance genre.","0.05","0.82","0.038","0.008","0"
"7780","remarkable procession of sweeping pictures that have reinvigorated the romance genre ","remarkable procession of sweeping pictures that have reinvigorated the romance genre.","0.05","0.82","0.038","0.008","0"
"3455","a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence ","a love story and a murder mystery, expanding into a meditation on the deep deceptions of innocence.","0.067","0.831","0.051","0.009","0"
"3455","a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence ","a love story and a murder mystery that expands into a meditation on the deep nudity of innocence","0.03","0.796","0.023","0.009","0"
"13402","an extraordinary poignancy, and the story ","an extraordinary poignancy... and the story","0.218","0.591","0.18","0.18","0"
"13402","an extraordinary poignancy, and the story ","An extraordinary poignancy, and and the story","0.11","0.338","0.09","0.18","0"
"21022",", while it may not rival the filmmaker's period pieces, is still very much worth seeing ","of course it may not rival the filmmaker's period pieces.","0.545","0.256","0.874","0.187","0"
"21022",", while it may not rival the filmmaker's period pieces, is still very much worth seeing ",", while it may not rival the filmmaker' primary periods, it is still very much worth seeing.","0.142","0.833","0.111","0.187","0"
"60843","kosminsky... puts enough salt into the wounds of the tortured and self-conscious material to make it sting. ","''kosminsky '' puts enough salt by the wounds of the tortured and self-conscious material to make it sting,","0.804","0.525","0.977","0.961","0"
"60843","kosminsky... puts enough salt into the wounds of the tortured and self-conscious material to make it sting. ","kosminsky... brings enough salt into the wounds of devil in armor to make it sting.","0.587","0.355","0.749","0.961","0"
"14525",", iwai's gorgeous visuals seduce. ","] iwai '' swild visuals seduce.","0.218","0.104","0.345","0.011","0"
"14525",", iwai's gorgeous visuals seduce. ",", iwai's incredibly beautiful visuals seduce.","0.0","0.126","0.0","0.011","0"
"39582","a little uneven to be the cat's meow, but it's good enough to be the purr. ","A little uneven to be the cat's meow, but it's good enough to be the purr.","0.347","0.12","0.945","0.945","0"
"39582","a little uneven to be the cat's meow, but it's good enough to be the purr. ","A little uneven.be the cat's meow ).","0.042","0.016","0.092","0.945","0"
"36056","a touching drama about old age and grief with a tour de force performance by michel piccoli. ","a touching drama about old age and grief, with a tour de force performance of michel piccoli.","0.001","0.892","0.001","0.001","0"
"36056","a touching drama about old age and grief with a tour de force performance by michel piccoli. ","A touching drama about old age and emotional intelligence, with a Bourgit performance by michel piccoli","0.0","0.0","0.012","0.001","0"
"15306","has crafted an intriguing story of maternal instincts and misguided acts of affection ","has crafted an intriguing story of maternal instincts and slightly unfocused acts of affection.","0.231","0.62","0.191","0.001","0"
"15306","has crafted an intriguing story of maternal instincts and misguided acts of affection ","has crafted an intriguing story of misogyny and misguided acts of affection.","0.0","0.0","0.309","0.001","0"
"12526","the film proves unrelentingly grim -- and equally engrossing. ","The film proves unrelentingly grim -- and equally engrossing.","0.777","0.966","0.729","0.729","0"
"12526","the film proves unrelentingly grim -- and equally engrossing. ","The film proves replicably grim -- and equally engrossing.","0.694","0.91","0.644","0.729","0"
"40216","watch barbershop again if you're in need of a cube fix -- ","watch Barbershop again if you are in need of a correct Cube -- ","0.352","0.811","0.296","0.786","0"
"40216","watch barbershop again if you're in need of a cube fix -- ","Barbershop again if you are in need a grid fix --","0.0","0.0","0.977","0.786","0"
"39443","of race and culture forcefully told, with superb performances throughout ","of race and culture,they told, with superb performances throughout","0.002","0.284","0.001","0.0","0"
"39443","of race and culture forcefully told, with superb performances throughout ","of race and culture, forcefully told, with superb performances total throughout these.","0.0","0.059","0.0","0.0","0"
"27805","uses modern technology to take the viewer inside the wave ","uses modern technology to present the viewer inside the wave.","0.135","0.536","0.108","0.032","0"
"27805","uses modern technology to take the viewer inside the wave ","use technology to take the viewer inside the wave","0.076","0.39","0.06","0.032","0"
"45065","by england's roger mitchell, who handily makes the move from pleasing ","By england's roger mitchell, who carry it handily from.","0.043","0.012","0.287","0.028","0"
"45065","by england's roger mitchell, who handily makes the move from pleasing ","By england's roger mitchell.who handily conducts the move from pleasing.","0.035","0.04","0.034","0.028","0"
"37144","its excellent use of new york locales and sharp writing ","its excellent use of New York - Locales and sharp stories.","0.162","0.355","0.137","0.038","0"
"37144","its excellent use of new york locales and sharp writing ","Its excellent use of new york relationships and sharp writing.","0.06","0.499","0.047","0.038","0"
"19279","of those rare films that come by once in a while with flawless amounts of acting, direction, story and pace ","Of those rare films that come by once in a while with flawless amounts of acting, direction, story and pace","0.146","0.715","0.116","0.116","0"
"19279","of those rare films that come by once in a while with flawless amounts of acting, direction, story and pace "," Of those rare films which come by once in a while with flawless amounts of acting, direction, story and pace.","0.061","0.613","0.047","0.116","0"
"25869","almost shakespearean -- both in depth and breadth -- ","almost Shakespearean -- both in depth and wisdom\","0.191","0.279","0.173","0.03","0"
"25869","almost shakespearean -- both in depth and breadth -- ","almost shakespeare -- both in depth and breadth was.","0.041","0.041","0.041","0.03","0"
"34873","a glorious dose of humankind's liberating ability ","a liberated dose of capabilities by ``","0.271","0.146","0.379","0.064","0"
"34873","a glorious dose of humankind's liberating ability ","A mighty dose of humankind's liberating ability","0.202","0.822","0.161","0.064","0"
"51078","are so crucial to the genre and another first-rate performance by top-billed star bruce willis ","are so important to the genre, and another first rate performance by top-favorite bruce willis","0.066","0.429","0.051","0.0","0"
"51078","are so crucial to the genre and another first-rate performance by top-billed star bruce willis ","are so crucial to the genre and another first-rate performance by top-billed star bruce willis '.","0.002","0.048","0.002","0.0","0"
"62601","too damn weird to pass up, and for the blacklight crowd, way cheaper ( and better ) than pink floyd tickets. ","Blacklight is too damn weird to pass up.for the blacklight crowd : way cheaper ( and better ) than pink floyd tickets.","0.932","0.851","0.962","0.585","0"
"62601","too damn weird to pass up, and for the blacklight crowd, way cheaper ( and better ) than pink floyd tickets. ","a too many weird tickets, and at the blacklight crowd, way cheaper ( and ensure cheaper).","0.11","0.032","0.643","0.585","0"
"21271","as funny for grown-ups as for rugrats ","as funny for grown-ups as for rugrats","0.612","0.905","0.552","0.552","0"
"21271","as funny for grown-ups as for rugrats ","For grownups as for area rugrats","0.264","0.151","0.352","0.552","0"
"31969","gets the tone just right -- funny in the middle of sad in the middle of hopeful. ","gets the tone just right -- funny in the middle of sad in the middle of hopeful.","0.234","0.374","0.208","0.208","0"
"31969","gets the tone just right -- funny in the middle of sad in the middle of hopeful. ","are you the right tone late in the middle of a song, on the middle of hopeful atmosphere.","0.017","0.018","0.016","0.208","0"
"7664","a youthful, out-to-change-the-world aggressiveness ","A New found, out-to-change, aggressive()","0.516","0.441","0.546","0.722","0"
"7664","a youthful, out-to-change-the-world aggressiveness ","Aided, Out-to-change '' world aggressiveness.","0.318","0.218","0.376","0.722","0"
"18201","written and directed with brutal honesty and respect for its audience ","written and directed withbonetly genuine truth and respect for its audience.","0.075","0.213","0.062","0.002","0"
"18201","written and directed with brutal honesty and respect for its audience ","written and directed with brutal honesty and respect for its audience.","0.002","0.912","0.001","0.002","0"
"65821","there's a sheer unbridled delight in the way ","There's ahtaking, unbridledvel in the way","0.276","0.127","0.453","0.001","0"
"65821","there's a sheer unbridled delight in the way ","There's a remarkable unbridled delight --","0.003","0.64","0.003","0.001","0"
"63556","a man whose engaging manner and flamboyant style made him a truly larger-than-life character ","A man whose approach and flamboyant style made him truly larger-than-Life.","0.109","0.646","0.086","0.064","0"
"63556","a man whose engaging manner and flamboyant style made him a truly larger-than-life character ","Not a man whose engaging manner and flamboyant style made him a truly larger-than-life character.","0.0","0.0","0.009","0.064","0"
"6533","the music makes a nice album, the food is enticing and ","The music makes a nice, `` ; ) album, the food is enticing, and","0.206","0.555","0.17","0.002","0"
"6533","the music makes a nice album, the food is enticing and ","Music makes a nice album, the food is enticing and","0.006","0.678","0.005","0.002","0"
"14514","the film itself -- as well its delightful cast -- is so breezy, pretty and gifted, it really won my heart ","the film itself -- as well its delightful cast - is so breezy, pretty and gifted.","0.018","0.086","0.014","0.0","0"
"14514","the film itself -- as well its delightful cast -- is so breezy, pretty and gifted, it really won my heart ","The film itself -- as well as its delightful cast -- is so breezy, pretty, and gifted. It really dangs my heart.","0.0","0.0","0.262","0.0","0"
"20470","to feel-good, follow-your-dream hollywood fantasies ","to feel-good, follow-your-dream Hollywood fantasies ","0.306","0.962","0.249","0.249","0"
"20470","to feel-good, follow-your-dream hollywood fantasies ","to feel good, follow your dreams specific Hollywood fantasies.","0.204","0.154","0.228","0.249","0"
"26157","a sweet, tender sermon about a 12-year-old welsh boy more curious about god ","a sweet, tender sermon about a 12-year-old, boy more curious about God.","0.069","0.398","0.054","0.058","0"
"26157","a sweet, tender sermon about a 12-year-old welsh boy more curious about god ","a sweet, tender sermon about a twelve-year-old unbelievfull boy more interested in God.","0.03","0.84","0.023","0.058","0"
"39734","for all its brooding quality, ash wednesday is suspenseful and ultimately unpredictable, with a sterling ensemble cast. ","For all its brooding quality, ash wednesday is suspenseful and ultimately unpredictable, with a 303 cast.","0.042","0.417","0.033","0.014","0"
"39734","for all its brooding quality, ash wednesday is suspenseful and ultimately unpredictable, with a sterling ensemble cast. ","For all its brooding quality, ash wednesday is suspenseful and ultimately unpredictable, with a sterling ensemble cast.","0.018","0.973","0.014","0.014","0"
"9590","builds gradually until you feel fully embraced by this gentle comedy ","builds gradually, until you feel fully embraced by the gentle comedy.","0.002","0.72","0.002","0.0","0"
"9590","builds gradually until you feel fully embraced by this gentle comedy ","builds gradually until you feel fully embraced by that gentle comedy.","0.0","0.749","0.0","0.0","0"
"50474","he has been able to share his story so compellingly with us is a minor miracle ","he has been able to share his story so compellingly with us.","0.071","0.295","0.056","0.0","0"
"50474","he has been able to share his story so compellingly with us is a minor miracle ","He has been able to share his story so compellingly with us, He became a minor miracle","0.004","0.713","0.003","0.0","0"
"20858","of a surprisingly juvenile lark, a pop-influenced prank whose charms are immediately apparent ","of a surprisingly juvenile larkchild, a pop-influenced prank whose charms have immediately apparent.","0.741","0.479","0.905","0.723","0"
"20858","of a surprisingly juvenile lark, a pop-influenced prank whose charms are immediately apparent ","Of a surprisingly juvenile lark, a pop-influenced prank whose charms are immediately apparent ``","0.715","0.825","0.685","0.723","0"
"63999","that will strike a chord with anyone who's ever ","that will strike a chord with anything - anybody who are ever","0.154","0.204","0.143","0.081","0"
"63999","that will strike a chord with anyone who's ever ","that will strike a chord with anyone who's ever ''Minneapolis","0.094","0.477","0.074","0.081","0"
"4400","to add the magic that made it all work ","to add the magic that made it all work ","0.268","0.952","0.216","0.216","0"
"4400","to add the magic that made it all work ","to add","0.012","0.003","0.332","0.216","0"
"55031",", that's because panic room is interested in nothing more than sucking you in... and making you sweat. ","Because panic room is finally interested,, nothing more than sucking you in, and making you sweat..","0.26","0.394","0.233","0.025","0"
"55031",", that's because panic room is interested in nothing more than sucking you in... and making you sweat. ","That ""s because flirt room in less more than sucking you in... and making you sweat ``","0.0","0.0","0.578","0.025","0"
"55232","carried less by wow factors than by its funny, moving yarn that holds up well after two decades ","carried less by wow factors than by its funny,moving yarn that holds well after getting after two decades.","0.126","0.104","0.136","0.014","0"
"55232","carried less by wow factors than by its funny, moving yarn that holds up well after two decades ","carried less by wow factors than by its funny, moving yarnthat holds up well after two decades","0.106","0.299","0.087","0.014","0"
"46479","welcomes a dash of the avant-garde fused with their humor ","Welcomes a dash of the avant-garde, bundled with their humor.","0.593","0.566","0.602","0.002","0"
"46479","welcomes a dash of the avant-garde fused with their humor ","welcomes a dash of the avantgarde fused with their humor :","0.004","0.497","0.003","0.002","0"
"45891","of sanctimony, self-awareness, self-hatred and self-determination ","of sanctimony, self-awareness, self-hatred and self-determination.","0.779","0.9","0.745","0.911","0"
"45891","of sanctimony, self-awareness, self-hatred and self-determination ","of acceptance, self-awareness, self-hatred and self-determination.","0.0","0.0","0.745","0.911","0"
"25493","'s coherent, well shot, and tartly acted ","'s coherent ; well shot, and tartly acting","0.018","0.326","0.014","0.256","0"
"25493","'s coherent, well shot, and tartly acted ","'s, well shot, and tartly acting ;","0.015","0.31","0.011","0.256","0"
"9496","a terrifically entertaining specimen of spielbergian sci-fi. ","a terrifically entertaining specimen of sci-fi,","0.004","0.345","0.003","0.0","0"
"9496","a terrifically entertaining specimen of spielbergian sci-fi. ","A terrifically entertaining specimen of spielbergian sci-fi.","0.001","0.973","0.0","0.0","0"
"36312","beneath the film's obvious determination to shock at any cost lies considerable skill and determination, backed by sheer nerve. ","beneath the film's obvious determination to shock at any cost lies considerable skill and determination, backed by sheer nerve","0.006","0.891","0.005","0.058","0"
"36312","beneath the film's obvious determination to shock at any cost lies considerable skill and determination, backed by sheer nerve. ","beneath the audacious determination to shock at any cost, considerable skill and determination, borne byresonant nerve.","0.006","0.172","0.004","0.058","0"
"25560","sand, who brings to the role her pale, dark beauty and characteristic warmth ","Sand, who brings her pale., dark beauty, and characteristic heat to the role.","0.087","0.081","0.09","0.0","0"
"25560","sand, who brings to the role her pale, dark beauty and characteristic warmth ","Sand, who brings thing to the role.","0.02","0.006","0.115","0.0","0"
"60973","as it sounds, but strikes a tone that's alternately melancholic, hopeful and strangely funny ","as it sounds, it strikes an intermittent melody.","0.356","0.125","0.927","0.0","0"
"60973","as it sounds, but strikes a tone that's alternately melancholic, hopeful and strangely funny ","As it turns out, but strikes a tone that', alternately, melancholic, hopeful and strangely funny.","0.281","0.585","0.239","0.0","0"
"48154","been perfect for an old `` twilight zone '' episode ","It’s got perfect at an old `` twilight zone ” episode.","0.044","0.13","0.036","0.048","0"
"48154","been perfect for an old `` twilight zone '' episode ","22 : `` It Takhun Hai '' was perfect for an old `` twilight zone `` episode","0.036","0.161","0.029","0.048","0"
"50888","fun, and host to some truly excellent sequences ","fun, and host to some truly excellent sequences ''.","0.005","0.555","0.004","0.004","0"
"50888","fun, and host to some truly excellent sequences ","fun, and host to some truly excellent sequences.","0.005","0.911","0.004","0.004","0"
"60773","a renowned indian film culture that allows americans to finally revel in its splendor ","a renowned Indian film culture, which allows Americanans to finally settle in its splendor.","0.059","0.603","0.045","0.0","0"
"60773","a renowned indian film culture that allows americans to finally revel in its splendor ","A renowned Indian film culture that allows americans to finally revel in its splendor.","0.001","0.922","0.001","0.0","0"
"49118","it's sweet and fluffy at the time ","it's Sugar and Fluff at the time ''.","0.236","0.088","0.538","0.049","0"
"49118","it's sweet and fluffy at the time ","it's sweet and fluffy at that time","0.072","0.519","0.056","0.049","0"
"5790","in their cheap, b movie way, they succeed ","in their cheap, b movie style they succeed.","0.464","0.916","0.398","0.225","0"
"5790","in their cheap, b movie way, they succeed ","in their cheap, B movie way, they succeed","0.278","0.971","0.225","0.225","0"
"37839","significantly better than its 2002 children's - movie competition. ","significantly better than its kids 2002 children/children movie competition.""","0.586","0.658","0.565","0.136","0"
"37839","significantly better than its 2002 children's - movie competition. ","were significantly better than its 2002 children's movie competition..","0.418","0.655","0.373","0.136","0"
"17707","a feature film that is wickedly fun to watch ","A feature film that is wickedly fun-fun","0.026","0.71","0.02","0.0","0"
"17707","a feature film that is wickedly fun to watch ","a feature film that is 33esse fun to watch.","0.013","0.433","0.01","0.0","0"
"20919","youthful affluence not as a lost ideal but a starting point ","youthful affluence not as a lost ideal, but a starting point.","0.675","0.502","0.762","0.377","0"
"20919","youthful affluence not as a lost ideal but a starting point ","youthful affluence, not as aGained ideal, but as a starting point ","0.569","0.474","0.609","0.377","0"
"3414",", the visuals and enveloping sounds of blue crush make this surprisingly decent flick worth a summertime look-see. ",", the visuals and enveloping sounds of Blue Crush make this surprisingly decent flick even in a summertime look-see.""","0.008","0.721","0.006","0.0","0"
"3414",", the visuals and enveloping sounds of blue crush make this surprisingly decent flick worth a summertime look-see. ","The visuals and enveloping sounds of blue - crush make this surprisingly decent flick worth a summertime look-see,","0.0","0.935","0.0","0.0","0"
